"member_casual","end_station_name","total_rides"
"Casuales","HQ QR",3764
"Casuales","Streeter Dr & Grand Ave",1856
"Casuales","Lake Shore Dr & Monroe St",1269
"Casuales","Millennium Park",1114
"Casuales","Shedd Aquarium",821
"Customer","Streeter Dr & Grand Ave",1934
"Customer","Lake Shore Dr & Monroe St",891
"Customer","Millennium Park",820
"Customer","Shedd Aquarium",640
"Customer","Michigan Ave & Oak St",447
"Subscriber","Clinton St & Washington Blvd",7570
"Subscriber","Clinton St & Madison St",6666
"Subscriber","Canal St & Adams St",6649
"Subscriber","Canal St & Madison St",4748
"Subscriber","Kingsbury St & Kinzie St",4303
"Suscritos","Canal St & Adams St",8158
"Suscritos","Clinton St & Washington Blvd",7010
"Suscritos","Clinton St & Madison St",6644
"Suscritos","Kingsbury St & Kinzie St",4495
"Suscritos","Michigan Ave & Washington St",3672
