"member_casual","day_of_week","total_rides","mean_duration","median_duration"
"Casuales","Sunday",14886,95.1761084240226,27.5583333333333
"Casuales","Monday",4855,73.8966735324408,13.05
"Casuales","Tuesday",5264,84.6365406534954,15.5666666666667
"Casuales","Wednesday",5933,74.9943873251306,20.7166666666667
"Casuales","Thursday",4895,125.859611848825,15.95
"Casuales","Friday",5167,118.307073737178,16.55
"Casuales","Saturday",7480,100.285933600713,23.2
"Suscritos","Sunday",35964,15.8223357616876,9.85
"Suscritos","Monday",61923,12.9771431186043,8.46666666666667
"Suscritos","Tuesday",69697,11.533871615708,8.58333333333333
"Suscritos","Wednesday",63978,11.6589405733221,8.51666666666667
"Suscritos","Thursday",61245,11.5538756905326,8.41666666666667
"Suscritos","Friday",55496,12.6220688578156,8.21666666666667
"Suscritos","Saturday",30104,15.4998206218443,8.71666666666667
